=== JCRingApp Debug Logs ===
Exported at: 2025-09-21 00:25:21.680
Total logs: 87
=====================================

[2025-09-21 00:22:48.677] [INFO] [RealBluetoothManager] 🔧 INICIANDO RealBluetoothManager...
[2025-09-21 00:22:48.690] [INFO] [RealBluetoothManager] ✅ DataListener registrado no BleService!
[2025-09-21 00:22:48.711] [INFO] [RealBluetoothManager] ✅ RealBluetoothManager inicializado corretamente
[2025-09-21 00:22:49.583] [WARN] [RealBluetoothManager] 📭 rawData.collect() chamado mas data é null
[2025-09-21 00:24:48.663] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301 Device
[2025-09-21 00:24:48.900] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301 Device
[2025-09-21 00:24:49.336] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:24:49.560] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:24:49.768] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:24:49.978] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:24:50.194] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:24:50.392] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:24:50.604] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:24:55.522] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:24:57.449] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:25:02.200] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301 Device
[2025-09-21 00:25:02.748] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301 Device
[2025-09-21 00:25:03.007] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301 Device
[2025-09-21 00:25:03.251] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301 Device
[2025-09-21 00:25:03.729] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:25:03.954] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:25:04.183] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:25:04.424] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:25:04.663] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:25:05.117] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:25:05.365] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:25:05.576] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:25:05.805] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:25:07.981] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:25:08.234] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:25:08.479] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:25:08.707] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:25:08.934] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:25:09.177] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:25:09.389] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:25:09.602] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:25:09.840] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:25:10.072] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:25:10.305] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
